file	side	kappa
02_std/fused_labels/ADNI_002_S_0729_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001115616920_S16874_I118682	left	0.5468202303
02_std/fused_labels/ADNI_002_S_0559_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070216234409231_S14875_I40674	left	0.6800314465
02_std/fused_labels/ADNI_002_S_0729_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070217001935821_S16874_I40708	left	0.5439036628
02_std/fused_labels/ADNI_002_S_0816_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081002102135862_S18402_I118984	left	0.6817761332
02_std/fused_labels/ADNI_002_S_0938_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070219175406282_S19852_I40980	left	0.6228855721
02_std/fused_labels/ADNI_002_S_0816_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070217005829488_S18402_I40731	left	0.6152416357
02_std/fused_labels/ADNI_002_S_0954_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070217011938920_S19979_I40744	left	0.4572286143
02_std/fused_labels/ADNI_002_S_0413_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070319115331858_S13893_I45117	left	0.6575228595
02_std/fused_labels/ADNI_002_S_0559_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001115028407_S14875_I118676	left	0.6554352186
02_std/fused_labels/ADNI_002_S_0685_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001115434324_S16309_I118680	left	0.6848534202
02_std/fused_labels/ADNI_002_S_0685_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070216235850690_S16309_I40683	left	0.6527162978
02_std/fused_labels/ADNI_002_S_0619_MR_MPR-R__GradWarp__N3__Scaled_2_Br_20081001115218896_S15145_I118678	left	0.4891587164
02_std/fused_labels/ADNI_002_S_0782_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001114355178_S17835_I118669	left	0.5758487323
02_std/fused_labels/ADNI_002_S_0938_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001115856421_S19852_I118685	left	0.5698711596
02_std/fused_labels/ADNI_002_S_0954_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001120143792_S19979_I118688	left	0.6194067371
02_std/fused_labels/ADNI_002_S_0295_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070319113623975_S13408_I45108	left	0.7123173278
02_std/fused_labels/ADNI_002_S_1268_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070802165115484_S26498_I64037	left	0.5830132309
02_std/fused_labels/ADNI_003_S_0907_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070501171753634_S19728_I52781	left	0.4371538134
02_std/fused_labels/ADNI_003_S_0981_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070501171453195_S20753_I52776	left	0.3584485065
02_std/fused_labels/ADNI_002_S_0955_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001120235839_S20004_I118689	left	0.4291115312
02_std/fused_labels/ADNI_002_S_1070_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070217032644901_S23120_I40831	left	0.654953271
02_std/fused_labels/ADNI_003_S_1257_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070501172255698_S27340_I52790	left	0.6016442451
02_std/fused_labels/ADNI_002_S_1018_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070217030439623_S23128_I40817	left	0.6908613905
02_std/fused_labels/ADNI_005_S_0223_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20061212164022848_S11981_I32855	left	0.6804494382
02_std/fused_labels/ADNI_002_S_1155_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070217034919863_S24144_I40845	left	0.6744466801
02_std/fused_labels/ADNI_003_S_0908_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070727175013471_S32516_I62589	left	0.3885666943
02_std/fused_labels/ADNI_003_S_1059_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070501173720913_S22300_I52816	left	0.3265306122
02_std/fused_labels/ADNI_003_S_1021_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070918111516027_S21771_I73506	left	0.3045078197
02_std/fused_labels/ADNI_005_S_0221_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070910164745994_S11958_I72128	left	0.4775549188
02_std/fused_labels/ADNI_002_S_1261_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070727130404463_S26574_I62377	left	0.4997732426
02_std/fused_labels/ADNI_005_S_0324_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20061212171617702_S12599_I32891	left	0.4868093579
02_std/fused_labels/ADNI_002_S_1280_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070713123810416_S26453_I60056	left	0.6651923927
02_std/fused_labels/ADNI_005_S_0602_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20061212103139908_S15966_I32672	left	0.4556113903
02_std/fused_labels/ADNI_005_S_0448_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20061212165540546_S14032_I32875	left	0.5043240783
02_std/fused_labels/ADNI_003_S_0931_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070503165327269_S20051_I53390	left	0.4071462153
02_std/fused_labels/ADNI_003_S_1057_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070501174016338_S23345_I52821	left	0.7145374449
02_std/fused_labels/ADNI_003_S_1122_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070501172757639_S23542_I52799	left	0.4604067503
02_std/fused_labels/ADNI_003_S_1074_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070503165612980_S23536_I53395	left	0.5864877815
02_std/fused_labels/ADNI_005_S_0814_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070923123111793_S18390_I74591	left	0.4717999019
02_std/fused_labels/ADNI_005_S_0610_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20061212102204007_S15727_I32667	left	0.6135693215
02_std/fused_labels/ADNI_006_S_0675_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070813140709161_S18432_I67341	left	0.4559298569
02_std/fused_labels/ADNI_006_S_0547_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070926110116880_S19779_I75279	left	0.5823788546
