file	side	kappa
02_std/fused_labels/ADNI_002_S_0782_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001114355178_S17835_I118669	right	0.5147382314
02_std/fused_labels/ADNI_002_S_0816_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081002102135862_S18402_I118984	right	0.5772432932
02_std/fused_labels/ADNI_002_S_0729_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070217001935821_S16874_I40708	right	0.5151049667
02_std/fused_labels/ADNI_002_S_0619_MR_MPR-R__GradWarp__N3__Scaled_2_Br_20081001115218896_S15145_I118678	right	0.3584650113
02_std/fused_labels/ADNI_002_S_0295_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070319113623975_S13408_I45108	right	0.5693497044
02_std/fused_labels/ADNI_002_S_0559_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001115028407_S14875_I118676	right	0.6156521739
02_std/fused_labels/ADNI_002_S_0559_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070216234409231_S14875_I40674	right	0.6411945542
02_std/fused_labels/ADNI_002_S_0954_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001120143792_S19979_I118688	right	0.675
02_std/fused_labels/ADNI_002_S_0816_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070217005829488_S18402_I40731	right	0.6799814213
02_std/fused_labels/ADNI_002_S_1155_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070217034919863_S24144_I40845	right	0.6797945205
02_std/fused_labels/ADNI_002_S_0413_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070319115331858_S13893_I45117	right	0.5569731632
02_std/fused_labels/ADNI_002_S_1070_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070217032644901_S23120_I40831	right	0.612244898
02_std/fused_labels/ADNI_002_S_0938_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070219175406282_S19852_I40980	right	0.5631168831
02_std/fused_labels/ADNI_002_S_0685_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001115434324_S16309_I118680	right	0.6563838903
02_std/fused_labels/ADNI_002_S_0955_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001120235839_S20004_I118689	right	0.6501216545
02_std/fused_labels/ADNI_002_S_1280_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070713123810416_S26453_I60056	right	0.5239923225
02_std/fused_labels/ADNI_002_S_0729_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001115616920_S16874_I118682	right	0.5655526992
02_std/fused_labels/ADNI_002_S_0938_MR_MPR__GradWarp__B1_Correction__N3__Scaled_2_Br_20081001115856421_S19852_I118685	right	0.4345991561
02_std/fused_labels/ADNI_003_S_0981_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070501171453195_S20753_I52776	right	0.3788672061
02_std/fused_labels/ADNI_002_S_0685_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070216235850690_S16309_I40683	right	0.632115548
02_std/fused_labels/ADNI_002_S_0954_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070217011938920_S19979_I40744	right	0.6523109244
02_std/fused_labels/ADNI_003_S_1257_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070501172255698_S27340_I52790	right	0.5854982551
02_std/fused_labels/ADNI_002_S_1018_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070217030439623_S23128_I40817	right	0.6274881517
02_std/fused_labels/ADNI_005_S_0221_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070910164745994_S11958_I72128	right	0.618302513
02_std/fused_labels/ADNI_005_S_0324_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20061212171617702_S12599_I32891	right	0.4753410283
